protocol,payload_mode,subscribers,payload_bytes,topology,iteration,updates_per_second,per_sub_updates_per_second,total_updates,drops,errors,duration_seconds
CA,raw,100,1000,loopback,2,20432,204.32,102236,65231113,0,5.00373
CA,raw,100,1000,loopback,3,19046.8,190.468,95330,70307887,0,5.00505
CA,raw,100,1000,loopback,4,23502.2,235.022,117621,69349992,0,5.00469
CA,raw,100,1000,loopback,5,24514.9,245.149,122666,68630733,0,5.00373
CA,raw,500,1000,loopback,1,63358,126.716,316825,75593355,0,5.00056
CA,raw,500,1000,loopback,2,64616.1,129.232,323386,76735863,0,5.00473
CA,raw,500,1000,loopback,3,63974.5,127.949,320094,76865752,0,5.00346
CA,raw,500,1000,loopback,4,65544.3,131.089,328050,76089812,0,5.00501
CA,raw,500,1000,loopback,5,63995.4,127.991,320081,75456419,0,5.00163
CA,raw,1000,1000,loopback,1,55782.5,55.7825,278959,78740857,0,5.00083
CA,raw,1000,1000,loopback,2,55409.6,55.4096,277323,79369407,0,5.00497
CA,raw,1000,1000,loopback,3,55900.8,55.9008,279735,79326205,0,5.00414
CA,raw,1000,1000,loopback,4,55686.1,55.6861,278495,79337730,0,5.00116
CA,raw,1000,1000,loopback,5,52044.5,52.0445,260428,74043877,0,5.00395
CA,raw,1,10000,loopback,1,36587.8,36587.8,183004,6145909,0,5.00178
CA,raw,1,10000,loopback,2,35871.3,35871.3,179533,6302396,0,5.00492
CA,raw,1,10000,loopback,3,34186.5,34186.5,171076,6330706,0,5.00419
CA,raw,1,10000,loopback,4,34783.4,34783.4,174092,6460865,0,5.00503
CA,raw,1,10000,loopback,5,35628,35628,178156,6211427,0,5.00044
CA,raw,10,10000,loopback,1,222121,22212.1,1111635,24692879,0,5.00463
CA,raw,10,10000,loopback,2,144604,14460.4,723720,26948147,0,5.00485
CA,raw,10,10000,loopback,3,152334,15233.4,762237,26799673,0,5.00373
CA,raw,10,10000,loopback,4,207044,20704.4,1035959,25468146,0,5.00357
CA,raw,10,10000,loopback,5,235214,23521.4,1176144,24138876,0,5.00032
CA,raw,100,10000,loopback,1,29063.1,290.631,145462,67183838,0,5.00504
CA,raw,100,10000,loopback,2,26054.9,260.549,130405,69028610,0,5.00502
CA,raw,100,10000,loopback,3,27101,271.01,135573,68839763,0,5.00251
CA,raw,100,10000,loopback,4,27982,279.82,140020,68567644,0,5.00393
CA,raw,100,10000,loopback,5,25954.2,259.542,129792,69138668,0,5.00081
CA,raw,500,10000,loopback,1,52981.7,105.963,265175,75920795,0,5.00503
CA,raw,500,10000,loopback,2,49692.4,99.3848,248669,71409974,0,5.00417
CA,raw,500,10000,loopback,3,51662.7,103.325,258573,75154564,0,5.00502
CA,raw,500,10000,loopback,4,51480.6,102.961,257508,74392528,0,5.00204
CA,raw,500,10000,loopback,5,52636.9,105.274,263234,75828065,0,5.00094
CA,raw,1000,10000,loopback,1,27526.8,27.5268,137760,79092160,0,5.00457
CA,raw,1000,10000,loopback,2,26906.8,26.9068,134540,78794404,0,5.00022
CA,raw,1000,10000,loopback,3,26477,26.477,132432,78369238,0,5.00178
CA,raw,1000,10000,loopback,4,27233.3,27.2333,136283,79125345,0,5.00428
CA,raw,1000,10000,loopback,5,27025.3,27.0253,135261,79132556,0,5.00498
CA,raw,1,100000,loopback,1,24800.1,24800.1,124110,625886,0,5.00441
CA,raw,1,100000,loopback,2,24316.6,24316.6,121648,653353,0,5.00266
CA,raw,1,100000,loopback,3,24704.7,24704.7,123620,606785,0,5.00391
CA,raw,1,100000,loopback,4,23005.4,23005.4,115132,544507,0,5.00457
CA,raw,1,100000,loopback,5,25030,25030,125271,615657,0,5.00483
CA,raw,10,100000,loopback,1,129800,12980,649642,2922258,0,5.00494
CA,raw,10,100000,loopback,2,145128,14512.8,726369,2928284,0,5.00502
CA,raw,10,100000,loopback,3,146396,14639.6,732686,3020314,0,5.00483
CA,raw,10,100000,loopback,4,143748,14374.8,719463,3082557,0,5.00502
CA,raw,10,100000,loopback,5,141722,14172.2,709318,3038802,0,5.00501
CA,raw,100,100000,loopback,1,216785,2167.85,1085017,12598827,0,5.00504
CA,raw,100,100000,loopback,2,219000,2190,1095937,12357697,0,5.00428
CA,raw,100,100000,loopback,3,219233,2192.33,1097265,12365131,0,5.00502
CA,raw,100,100000,loopback,4,217216,2172.16,1087178,12407080,0,5.00504
CA,raw,100,100000,loopback,5,222129,2221.29,1111587,11760345,0,5.00425
CA,raw,500,100000,loopback,1,53192.6,106.385,266230,58902816,0,5.00502
CA,raw,500,100000,loopback,2,54974.3,109.949,275108,58980117,0,5.0043
CA,raw,500,100000,loopback,3,57150.5,114.301,285900,58666960,0,5.00258
CA,raw,500,100000,loopback,4,51308.6,102.617,256756,59514001,0,5.00415
CA,raw,500,100000,loopback,5,57040.7,114.081,285332,58605561,0,5.00225
CA,raw,1000,100000,loopback,1,13884.7,13.8847,69447,68836210,0,5.00167
CA,raw,1000,100000,loopback,2,15383.1,15.3831,76953,71746967,0,5.00245
CA,raw,1000,100000,loopback,3,12354.9,12.3549,61802,72865759,0,5.00221
CA,raw,1000,100000,loopback,4,12564.7,12.5647,62862,73098059,0,5.00305
CA,raw,1000,100000,loopback,5,13160.4,13.1604,65847,73064814,0,5.00343
PVA,raw,1,1,loopback,1,18462.9,18462.9,55418,5,0,3.00159
PVA,raw,1,1,loopback,2,20674.8,20674.8,62054,85,0,3.00143
PVA,raw,1,1,loopback,3,17223.1,17223.1,51692,5,0,3.00132
PVA,raw,1,1,loopback,4,15657.9,15657.9,46994,9,0,3.0013
PVA,raw,1,1,loopback,5,20102.4,20102.4,60356,0,0,3.00242
PVA,raw,10,1,loopback,1,118370,11837,355120,0,0,3.0001
PVA,raw,10,1,loopback,2,106514,10651.4,319655,0,0,3.00106
PVA,raw,10,1,loopback,3,120205,12020.5,360802,130,0,3.00155
PVA,raw,10,1,loopback,4,113264,11326.4,340300,0,0,3.00449
PVA,raw,10,1,loopback,5,106433,10643.3,319718,3321,0,3.00394
PVA,raw,100,1,loopback,1,184479,1844.79,553484,0,0,3.00026
PVA,raw,100,1,loopback,2,249455,2494.55,749323,0,0,3.00384
PVA,raw,100,1,loopback,3,220606,2206.06,662915,0,0,3.00497
PVA,raw,100,1,loopback,4,220465,2204.65,661884,0,0,3.00221
PVA,raw,100,1,loopback,5,220549,2205.49,662047,462,0,3.00182
PVA,raw,500,1,loopback,1,270299,540.598,812199,0,0,3.00482
PVA,raw,500,1,loopback,2,276818,553.636,831068,0,0,3.00222
PVA,raw,500,1,loopback,3,270548,541.097,813002,0,0,3.00502
PVA,raw,500,1,loopback,4,250385,500.77,752133,0,0,3.0039
PVA,raw,500,1,loopback,5,277271,554.542,832592,0,0,3.00281
PVA,raw,1000,1,loopback,1,269390,269.39,809451,0,0,3.00476
PVA,raw,1000,1,loopback,2,261648,261.648,786263,0,0,3.00504
PVA,raw,1000,1,loopback,3,245259,245.259,737009,0,0,3.00502
